Country,TestYear,TotalDebris,Cumulative_debris
China,1959,0,0
China,2005,0,0
China,2006,0,0
China,2007,3536,3536
China,2010,0,3536
China,2013,0,3536
China,2013,0,3536
China,2014,0,3536
China,2015,0,3536
China,2017,0,3536
China,2018,0,3536
China,2023,0,3536
India,1959,0,0
India,2019,0,0
India,2019,130,130
India,2023,0,130
Russia,1959,0,0
Russia,1963,0,0
Russia,1964,0,0
Russia,1967,0,0
Russia,1968,252,252
Russia,1970,147,399
Russia,1971,118,517
Russia,1971,0,517
Russia,1971,29,546
Russia,1976,0,546
Russia,1976,0,546
Russia,1976,127,673
Russia,1977,0,673
Russia,1977,0,673
Russia,1977,0,673
Russia,1978,73,746
Russia,1980,48,794
Russia,1981,0,794
Russia,1982,64,858
Russia,1990,0,858
Russia,1991,0,858
Russia,1994,27,885
Russia,2014,0,885
Russia,2015,0,885
Russia,2015,0,885
Russia,2016,0,885
Russia,2016,0,885
Russia,2018,0,885
Russia,2018,0,885
Russia,2019,0,885
Russia,2019,30,915
Russia,2019,0,915
Russia,2020,0,915
Russia,2020,0,915
Russia,2021,1790,2675
Russia,2023,0,2675
USA,1959,0,0
USA,1959,0,0
USA,1961,0,0
USA,1961,0,0
USA,1962,0,0
USA,1962,0,0
USA,1962,0,0
USA,1962,0,0
USA,1963,0,0
USA,1963,0,0
USA,1963,0,0
USA,1963,0,0
USA,1964,0,0
USA,1964,0,0
USA,1964,0,0
USA,1964,0,0
USA,1964,0,0
USA,1964,0,0
USA,1965,0,0
USA,1965,0,0
USA,1965,0,0
USA,1966,0,0
USA,1967,0,0
USA,1968,0,0
USA,1968,0,0
USA,1970,0,0
USA,1984,0,0
USA,1984,0,0
USA,1985,287,287
USA,1986,0,287
USA,1986,17,304
USA,1986,0,304
USA,2008,175,479
USA,2023,0,479
,,,
